Symptom,Importance_Weight
sore_throat,3.963752046921335
headache,3.9137907271710555
itching,3.903701052806522
acidity,3.845110836105949
cough,3.803687370760536
redness_of_eyes,3.756491705900116
itching_eyes,3.683201741237323
stomach_pain,3.5588019245772187
joint_pain,3.5074148946168933
diarrhoea,3.4753664615126083
burning_micturition,3.3854767826931766
breathlessness,3.280242843595791
dry_skin,3.251648985692913
frequent_urination,3.1194317502036033
wheezing,3.116155976977774
runny_nose,3.1118443827025732
skin_rash,3.101309331965224
dehydration,3.0279666286189117
continuous_sneezing,3.0140576642458137
difficulty_swallowing,2.9909575662454655
pus_filled_pimples,2.9855886984079216
chills,2.816810739697515
fatigue,2.7879835433357925
itchy_nose,2.755677017128572
skin_peeling,2.692474051032002
increased_thirst,2.657788610008676
mucoid_sputum,2.6511353247268334
indigestion,2.636871280506639
watering_from_eyes,2.624491378743237
blackheads,2.5933400056399725
high_fever,2.592030417644851
sensitivity_to_light,2.5723573580963923
muscle_pain,2.538836453700406
knee_pain,2.4924714945488873
bladder_discomfort,2.468548251658887
silver_like_dusting,2.4260372818611757
red_spots_over_body,2.3196586844462597
excessive_hunger,2.253414971552132
loss_of_appetite,2.2008084941583816
dizziness,2.169210434519364
chest_tightness,2.1221475323131087
swelling_joints,2.1094127621239553
foul_smell_of_urine,2.0238454573945592
nausea,2.014616231765325
nodal_skin_eruptions,1.9295196942758697
loss_of_smell,1.87627480845974
neck_pain,1.865427320339957
loss_of_taste,1.8192356589446466
dischromic_patches,1.7735887046480157
chest_pain,1.7697854787939926
blurred_and_distorted_vision,1.7667554358614292
pain_in_eye,1.7474827292676836
vomiting,1.6515044581639566
weight_loss,1.6212124318730285
mild_fever,1.5583191427986947
patches_in_throat,1.5300715409365542
loss_of_balance,1.1444696043276454
scurring,1.1429460118167878
internal_itching,0.36800295542926614
